pH,Ra,fSorb,k2,k1,totRa,sites
7.9,9.6445145405e-11,0.838693518306,-5.67,3.0,5.979e-10,0.0065
8.0,9.00717677465e-11,0.84935312302,-5.67,3.0,5.979e-10,0.0065
8.1,8.29356101474e-11,0.861288492813,-5.67,3.0,5.979e-10,0.0065
8.2,8.23908050146e-11,0.862199690559,-5.67,3.0,5.979e-10,0.0065
8.3,8.0900235836e-11,0.86469269805,-5.67,3.0,5.979e-10,0.0065
8.4,7.91484957857e-11,0.867622519174,-5.67,3.0,5.979e-10,0.0065
8.5,7.73127395713e-11,0.870692859055,-5.67,3.0,5.979e-10,0.0065
8.6,7.54549703934e-11,0.873800016067,-5.67,3.0,5.979e-10,0.0065
8.7,7.36124716586e-11,0.876881632951,-5.67,3.0,5.979e-10,0.0065
8.8,7.18176625036e-11,0.879883488035,-5.67,3.0,5.979e-10,0.0065
8.9,7.01017931794e-11,0.882753314636,-5.67,3.0,5.979e-10,0.0065
9.0,6.84935566603e-11,0.885443123164,-5.67,3.0,5.979e-10,0.0065
9.1,6.70164762623e-11,0.887913570393,-5.67,3.0,5.979e-10,0.0065
9.2,6.56868262569e-11,0.890137437269,-5.67,3.0,5.979e-10,0.0065
9.3,6.45127954744e-11,0.892101027807,-5.67,3.0,5.979e-10,0.0065
9.4,6.34949284913e-11,0.89380343119,-5.67,3.0,5.979e-10,0.0065
9.5,6.26274928772e-11,0.895254235027,-5.67,3.0,5.979e-10,0.0065
9.6,6.19002956268e-11,0.896470487328,-5.67,3.0,5.979e-10,0.0065
9.7,6.13005311857e-11,0.897473605644,-5.67,3.0,5.979e-10,0.0065
9.8,6.08143886479e-11,0.898286688998,-5.67,3.0,5.979e-10,0.0065
9.9,6.04282966407e-11,0.898932435791,-5.67,3.0,5.979e-10,0.0065
10.0,6.01297979251e-11,0.899431681008,-5.67,3.0,5.979e-10,0.0065
2.0,5.97888656583e-10,1.89720973406e-05,-5.67,3.0,5.979e-10,0.006
2.1,5.97885185043e-10,2.47783191167e-05,-5.67,3.0,5.979e-10,0.006
2.2,5.97880738782e-10,3.2214781736e-05,-5.67,3.0,5.979e-10,0.006
2.3,5.97875062469e-10,4.17085315269e-05,-5.67,3.0,5.979e-10,0.006
2.4,5.97867836352e-10,5.37943602608e-05,-5.67,3.0,5.979e-10,0.006
2.5,5.97858659841e-10,6.91422629201e-05,-5.67,3.0,5.979e-10,0.006
2.6,5.97847030478e-10,8.85926108044e-05,-5.67,3.0,5.979e-10,0.006
2.7,5.97832317425e-10,0.000113200493394,-5.67,3.0,5.979e-10,0.006
2.8,5.97813727981e-10,0.000144291719351,-5.67,3.0,5.979e-10,0.006
2.9,5.97790265383e-10,0.000183533395216,-5.67,3.0,5.979e-10,0.006
3.0,5.97760675717e-10,0.000233022717846,-5.67,3.0,5.979e-10,0.006
3.1,5.97723381205e-10,0.00029539855327,-5.67,3.0,5.979e-10,0.006
3.2,5.97676396419e-10,0.000373981570497,-5.67,3.0,5.979e-10,0.006
3.3,5.97617223115e-10,0.000472950133802,-5.67,3.0,5.979e-10,0.006
3.4,5.97542718298e-10,0.000597560966717,-5.67,3.0,5.979e-10,0.006
3.5,5.97448928757e-10,0.000754425895635,-5.67,3.0,5.979e-10,0.006
3.6,5.9733088374e-10,0.000951858605118,-5.67,3.0,5.979e-10,0.006
3.7,5.97182335433e-10,0.00120030869209,-5.67,3.0,5.979e-10,0.006
3.8,5.96995434525e-10,0.00151290429001,-5.67,3.0,5.979e-10,0.006
3.9,5.96760325397e-10,0.0019061291236,-5.67,3.0,5.979e-10,0.006
