pH,Ra(mol/kgw),m_Ra+2(mol/kgw),m_RaCl+(mol/kgw),m_RaCl2(mol/kgw),m_Ra(OH)+(mol/kgw),m_Ra(OH)2(mol/kgw),m_Ra(HCO3)+(mol/kgw),m_Ra(CO3)(mol/kgw),m_FhyOHRa+2(mol/kgw),fSorb,k1,totRa,sites
5.7,1.74354161265e-13,1.74351998616e-13,8.03346916638e-19,4.68424301565e-24,2.80560680832e-21,3.68881409941e-30,1.35391938966e-18,2.57313614263e-21,5.97725666428e-10,0.999708389093,10.0,5.979e-10,6.23e-06
5.8,1.40428729659e-13,1.40426856166e-13,5.45312668294e-19,2.67913907362e-24,2.8458290077e-21,4.71109311332e-30,1.32216844731e-18,3.16380465043e-21,5.97759596476e-10,0.999765130072,10.0,5.979e-10,6.23e-06
5.9,1.13497384248e-13,1.13495733745e-13,3.58296813158e-19,1.43076476167e-24,2.89652137927e-21,6.03720358619e-30,1.2854357664e-18,3.87274978904e-21,5.97786533168e-10,0.999810173299,10.0,5.979e-10,6.23e-06
6.0,9.21161604417e-14,9.21146869615e-14,2.221566139e-19,6.77593973408e-25,2.96039070302e-21,7.76871346182e-30,1.24364510976e-18,4.71744131408e-21,5.9780792048e-10,0.999845933834,10.0,5.979e-10,6.23e-06
6.1,7.5139851521e-14,7.51385227999e-14,1.22963801532e-19,2.54447080317e-25,3.04084546412e-21,1.00468891126e-29,1.19699948095e-18,5.71664443974e-21,5.97824903591e-10,0.999874327059,10.0,5.979e-10,6.23e-06
6.2,6.16600206041e-14,6.1658813617e-14,5.09189194793e-20,5.31617697229e-26,3.14217854348e-21,1.30708186454e-29,1.14603502234e-18,6.89096067987e-21,5.9783839086e-10,0.999896872352,10.0,5.979e-10,6.23e-06
6.3,5.09576416816e-14,5.09565385047e-14,1.60014613035e-26,6.35179314579e-39,3.26982502866e-21,1.71248226568e-29,1.09164303585e-18,8.26403526358e-21,5.97849101188e-10,0.9999147723,10.0,5.979e-10,6.23e-06
6.4,4.25172782633e-14,4.25162297621e-14,2.95870973773e-28,0.0,3.43175828395e-21,2.26202486513e-29,1.03520625235e-18,9.86319267611e-21,5.97857549851e-10,0.999928888981,10.0,5.979e-10,6.23e-06
6.5,3.58047138826e-14,3.58037206337e-14,1.24633984046e-28,0.0,3.63543933136e-21,3.01596648387e-29,9.77886902138e-19,1.17264942601e-20,5.9786427085e-10,0.999940115882,10.0,5.979e-10,6.23e-06
6.6,3.04672378773e-14,3.04662988751e-14,7.05743554992e-29,0.0,3.8917350676e-21,4.06360182329e-29,9.21206643416e-19,1.39038446486e-20,5.97869616679e-10,0.99994904292,10.0,5.979e-10,6.23e-06
6.7,2.62239571401e-14,2.62230698442e-14,4.56454124458e-29,0.0,4.21433980701e-21,5.53866254461e-29,8.6661843344e-19,1.64631620927e-20,5.97873868027e-10,0.999956139894,10.0,5.979e-10,6.23e-06
6.8,2.28513141445e-14,2.28504746613e-14,3.20379058631e-29,0.0,4.62052082748e-21,7.64333402074e-29,8.15366189806e-19,1.94964077277e-20,5.97877248279e-10,0.999961780709,10.0,5.979e-10,6.23e-06
6.9,2.01714324431e-14,2.01706357981e-14,2.38510302025e-29,0.0,5.13206061708e-21,1.06858524335e-28,7.68386607324e-19,2.31263547831e-20,5.97879935184e-10,0.999966262866,10.0,5.979e-10,6.23e-06
7.0,1.80428594617e-14,1.80420999037e-14,1.85985196225e-29,0.0,5.77645448363e-21,1.51395432334e-28,7.26267344067e-19,2.75142668279e-20,5.97882070123e-10,0.999969822948,10.0,5.979e-10,6.23e-06
7.1,1.63531364296e-14,1.63524077133e-14,1.50693872618e-29,0.0,6.58843134619e-21,2.17357911025e-28,6.89258963477e-19,3.28689528361e-20,5.97883765531e-10,0.999972649044,10.0,5.979e-10,6.23e-06
7.2,1.50129102745e-14,1.50122058782e-14,1.26132960883e-29,0.0,7.61189414872e-21,3.16107984475e-28,6.57326481784e-19,3.9457892088e-20,5.97885110785e-10,0.9999748906,10.0,5.979e-10,6.23e-06
7.3,1.39512473375e-14,1.39505605922e-14,1.08553400535e-29,0.0,8.90240193665e-21,4.65377829052e-28,6.30221483789e-19,4.76213527296e-20,5.97886176876e-10,0.999976666253,10.0,5.979e-10,6.23e-06
7.4,1.3111910546e-14,1.31112346673e-14,9.56727665152e-30,0.0,1.05303572244e-20,6.92951622326e-28,6.0755772816e-19,5.77906262062e-20,5.97887020125e-10,0.999978070061,10.0,5.979e-10,6.23e-06
7.5,1.24504053813e-14,1.24497334059e-14,8.60388636267e-30,0.0,1.25851178839e-20,1.04251665868e-27,5.88878527197e-19,7.05117476477e-20,5.97887685125e-10,0.999979176442,10.0,5.979e-10,6.23e-06
7.6,1.19316402269e-14,1.19309648601e-14,7.86926461058e-30,0.0,1.51803309164e-20,1.58298365122e-27,5.73710114785e-19,8.64764290406e-20,5.9788820708e-10,0.999980044087,10.0,5.979e-10,6.23e-06
7.7,1.15280789866e-14,1.15273923634e-14,7.29796376489e-30,0.0,1.8460896362e-20,2.4233714308e-27,5.61599889798e-19,1.0656246755e-19,5.97888613644e-10,0.999980719052,10.0,5.979e-10,6.23e-06
7.8,1.12182896984e-14,1.12175830583e-14,6.84396585271e-30,0.0,2.26121290576e-20,3.73664755043e-27,5.52141279232e-19,1.31886686622e-19,5.97888926374e-10,0.999981237181,10.0,5.979e-10,6.23e-06
7.9,1.09858135727e-14,1.09850768379e-14,6.47399848534e-30,0.0,2.78719181433e-20,5.79804258502e-27,5.44988223493e-19,1.63874630608e-19,5.97889161863e-10,0.999981626002,10.0,5.979e-10,6.23e-06
8.0,1.08182955836e-14,1.08175168212e-14,6.16336843584e-30,0.0,3.45470263659e-20,9.04686942193e-27,5.39862472876e-19,2.04352926025e-19,5.97889332612e-10,0.999981906179,10.0,5.979e-10,6.23e-06
8.1,1.07068313529e-14,1.07059960885e-14,5.89331687314e-30,0.0,4.30351809719e-20,1.4186734262e-26,5.36556503559e-19,2.55672689402e-19,5.97889447687e-10,0.999982092605,10.0,5.979e-10,6.23e-06
8.2,1.06454963414e-14,1.06445866758e-14,5.64933470833e-30,0.0,5.38553749404e-20,2.23488792378e-26,5.34934264176e-19,3.20875970141e-19,5.97889513199e-10,0.999982195189,10.0,5.979e-10,6.23e-06
8.3,1.06310329131e-14,1.06300263692e-14,5.42011159126e-30,0.0,6.76899614178e-20,3.53601566853e-26,5.34931368733e-19,4.03922523749e-19,5.97889532624e-10,0.99998221938,10.0,5.979e-10,6.23e-06
8.4,1.06626791797e-14,1.06615471779e-14,5.19691996395e-30,0.0,8.54439045935e-20,5.6185981314e-26,5.36555834082e-19,5.10002031573e-19,5.97889506986e-10,0.999982166451,10.0,5.979e-10,6.23e-06
8.5,1.07421311294e-14,1.07408369416e-14,4.97330113951e-30,0.0,1.08329291002e-19,8.96688812917e-26,5.39890042079e-19,6.45968410626e-19,5.97889434908e-10,0.999982033566,10.0,5.979e-10,6.23e-06
8.6,1.08736368251e-14,1.08721327935e-14,4.74494749376e-30,0.0,1.37987447845e-19,1.43772042369e-25,5.45094259436e-19,8.20949788509e-19,5.97889312535e-10,0.99998181362,10.0,5.979e-10,6.23e-06
8.6999999999,1.10642288407e-14,1.10624525487e-14,4.50967945479e-30,0.0,1.76667613124e-19,2.31696079409e-25,5.52411726216e-19,1.04721240325e-18,5.97889133322e-10,0.999981494851,10.0,5.979e-10,6.23e-06
8.8,1.13241090417e-14,1.13219779827e-14,4.2674131296e-30,0.0,2.27491404795e-19,3.75525220515e-25,5.62174969786e-19,1.34139224082e-18,5.97888887671e-10,0.999981060196,10.0,5.979e-10,6.23e-06
8.9,1.16672087641e-14,1.16646128439e-14,4.02002037082e-30,0.0,2.948484725e-19,6.12587696148e-25,5.74812549764e-19,1.72625847735e-18,5.97888562416e-10,0.999980486354,10.0,5.979e-10,6.23e-06
9.0,1.21119579819e-14,1.210874889e-14,3.77101157967e-30,0.0,3.84994065381e-19,1.00669706415e-24,5.90854831287e-19,2.23324200807e-18,5.9788814008e-10,0.999979742502,10.0,5.979e-10,6.23e-06
9.1,1.26823097422e-14,1.26782857909e-14,3.52502629769e-30,0.0,5.06959149229e-19,1.66828505195e-24,6.10936556589e-19,2.90605400079e-18,5.97887597911e-10,0.999978788577,10.0,5.979e-10,6.23e-06
9.2,1.34090818517e-14,1.34039662752e-14,3.28718482272e-30,0.0,6.73946643174e-19,2.79093265936e-24,6.35792930563e-19,3.80583422241e-18,5.97886906602e-10,0.999977573036,10.0,5.979e-10,6.23e-06
9.3,1.43316974679e-14,1.43251073312e-14,3.06240977947e-30,0.0,9.05486758975e-19,4.71849224106e-24,6.6624471277e-19,5.01840046279e-18,5.97886028633e-10,0.999976029942,10.0,5.979e-10,6.23e-06
9.4,1.55004312736e-14,1.54918330179e-14,2.85484440074e-30,0.0,1.23078167203e-18,8.06987428066e-24,7.03166647631e-19,6.66429933296e-18,5.97884916128e-10,0.999974075211,10.0,5.979e-10,6.23e-06
9.5,1.69793001056e-14,1.69679462948e-14,2.66746616807e-30,0.0,1.69391875288e-18,1.39735454994e-23,7.47432947387e-19,8.91244508246e-18,5.97883508094e-10,0.999971601773,10.0,5.979e-10,6.23e-06
9.6,1.88497787237e-14,1.88346187274e-14,2.50193528076e-30,0.0,2.36202626962e-18,2.45124583772e-23,7.99834280913e-19,1.1998111298e-17,5.97881726871e-10,0.999968473359,10.0,5.979e-10,6.23e-06
9.7,2.12155761905e-14,2.11951312868e-14,2.35865502635e-30,0.0,3.33807162505e-18,4.35754185813e-23,8.60963908389e-19,1.62458245251e-17,5.97879473563e-10,0.999964516514,10.0,5.979e-10,6.23e-06
9.8,2.42087806506e-14,2.41809712776e-14,2.2369793486e-30,0.0,4.78099638332e-18,7.84981162809e-23,9.31077280259e-19,2.20972208543e-17,5.97876622157e-10,0.999959510318,10.0,5.979e-10,6.23e-06
9.9,2.79977765186e-14,2.79596858164e-14,2.13549060774e-30,0.0,6.93746212999e-18,1.43245995479e-22,1.00993982641e-18,3.01431570111e-17,5.97873011941e-10,0.999953173145,10.0,5.979e-10,6.23e-06
10.0,3.27974670328e-14,3.27450196235e-14,2.05228215784e-30,0.0,1.01919934375e-17,2.64619975576e-22,1.09669012556e-18,4.11584611203e-17,5.978684377e-10,0.999945145564,10.0,5.979e-10,6.23e-06
2.0,4.34196690233e-10,4.31684157244e-10,2.49014148845e-12,2.23909247414e-14,1.01345092606e-21,2.39458043427e-34,5.75030835659e-19,1.96469928875e-25,1.63703308663e-10,0.2737971396,9.9,5.979e-10,6.23e-06
2.1,3.99739981168e-10,3.97844266289e-10,1.88212584129e-12,1.35883477037e-14,1.21393876836e-21,3.64974816348e-34,6.8878080886e-19,2.99426213492e-25,1.98160017729e-10,0.331426691473,9.9,5.979e-10,6.23e-06
2.2,3.62539441388e-10,3.61134135192e-10,1.39721337957e-12,8.09200484984e-15,1.42808830033e-21,5.45809116495e-34,8.10278134459e-19,4.47748889777e-25,2.35360557963e-10,0.393645356433,9.9,5.979e-10,6.23e-06
