pH,Ra(mol/kgw),m_Ra+2(mol/kgw),m_RaCl+(mol/kgw),m_RaCl2(mol/kgw),m_Ra(OH)+(mol/kgw),m_Ra(OH)2(mol/kgw),m_Ra(HCO3)+(mol/kgw),m_Ra(CO3)(mol/kgw),m_FhyOHRa+2(mol/kgw),fSorb,k1,totRa,sites
7.1,2.46100848368e-13,2.46025404597e-13,2.44487017766e-29,0.0,9.71828016332e-20,3.18506613768e-27,7.19385696231e-17,3.4080190095e-18,5.97654746188e-10,0.999588391289,10.0,5.979e-10,6.23e-06
7.2,1.56357976489e-13,1.56304998504e-13,1.41633306649e-29,0.0,7.76188880395e-20,3.20104233807e-27,4.99242695409e-17,2.97609639374e-18,5.97744568111e-10,0.999738488081,10.0,5.979e-10,6.23e-06
7.3,9.93314886843e-14,9.92946354545e-14,8.30696188305e-30,0.0,6.19962475055e-20,3.21739485591e-27,3.42239134987e-17,2.56731996739e-18,5.97801669363e-10,0.99983386605,10.0,5.979e-10,6.23e-06
7.4,6.30942817313e-14,6.30688486444e-14,4.92777201341e-30,0.0,4.95178457537e-20,3.23397295667e-27,2.31939857391e-17,2.18958336602e-18,5.9783797555e-10,0.999894473521,10.0,5.979e-10,6.23e-06
7.5,4.00691459879e-14,4.00517028294e-14,2.95313401178e-30,0.0,3.95490706801e-20,3.25062613976e-27,1.55555054302e-17,1.84810399335e-18,5.978610629e-10,0.999932983532,10.0,5.979e-10,6.23e-06
7.6,2.54410493164e-14,2.54291367363e-14,1.78565035152e-30,0.0,3.15844380114e-20,3.26722662776e-27,1.03355576057e-17,1.54543814415e-18,5.97875746119e-10,0.999957449324,10.0,5.979e-10,6.23e-06
7.7,1.61495545287e-14,1.61414364296e-14,1.08803365193e-30,0.0,2.52210011035e-20,3.28368318963e-27,6.81106271428e-18,1.28181540135e-18,5.97885085479e-10,0.999972989539,10.0,5.979e-10,6.23e-06
7.8,1.02491944669e-14,1.02436620695e-14,6.67255197649e-31,0.0,2.01372437862e-20,3.29994829317e-27,4.45660324187e-18,1.05565694851e-18,5.97891027324e-10,0.999982858012,10.0,5.979e-10,6.23e-06
7.9,6.50328661857e-15,6.49950807705e-15,4.11388058904e-31,0.0,1.60763987872e-20,3.31601902032e-27,2.89832050314e-18,8.64144617872e-19,5.97894808762e-10,0.99998912312,10.0,5.979e-10,6.23e-06
8.0,4.12578244805e-15,4.1231906858e-15,2.54724652448e-31,0.0,1.28332522094e-20,3.33193576699e-27,1.87518367115e-18,7.03745323174e-19,5.97897216591e-10,0.999993099544,10.0,5.979e-10,6.23e-06
8.1,2.61716751689e-15,2.61537868943e-15,1.58250215404e-31,0.0,1.02437073689e-20,3.34777906396e-27,1.20794733542e-18,5.70636409991e-19,5.97898751228e-10,0.999995622734,10.0,5.979e-10,6.23e-06
8.2,1.66010122056e-15,1.65885674723e-15,9.85616940978e-32,0.0,8.17650798463e-21,3.36366654967e-27,7.75280823199e-19,4.61015998591e-19,5.97899730835e-10,0.999997223447,10.0,5.979e-10,6.23e-06
8.3,1.05304229159e-15,1.05216840813e-15,6.14943200121e-32,0.0,6.52665720837e-21,3.37975104007e-27,4.96050793326e-19,3.71306000618e-19,5.97900357872e-10,0.999998238765,10.0,5.979e-10,6.23e-06
8.4000000002,6.68036068072e-16,6.67416034648e-16,3.84083312502e-32,0.0,5.21017164238e-21,3.39622042664e-27,3.16555731392e-19,2.98267517113e-19,5.97900760021e-10,0.999998882696,10.0,5.979e-10,6.23e-06
8.5,4.23873491243e-16,4.2342872805e-16,2.39993508275e-32,0.0,4.15989056537e-21,3.41329997369e-27,2.01551868949e-19,2.39051430407e-19,5.97901022421e-10,0.999999291063,10.0,5.979e-10,6.23e-06
8.6,2.69029431479e-16,2.68706833567e-16,1.49929771543e-32,0.0,3.322122564e-21,3.43125743107e-27,1.2807070225e-19,1.91205083735e-19,5.9790119436e-10,0.999999550043,10.0,5.979e-10,6.23e-06
8.7,1.70821388492e-16,1.70584853191e-16,9.35887942286e-33,0.0,2.65395958918e-21,3.45041159079e-27,8.12294558141e-20,1.52651882521e-19,5.97901310349e-10,0.999999714298,10.0,5.979e-10,6.23e-06
8.8,1.08523495125e-16,1.08348287949e-16,5.83359587936e-33,0.0,2.12112415108e-21,3.47114479526e-27,5.1429873987e-20,1.21656174913e-19,5.97901392069e-10,0.999999818492,10.0,5.979e-10,6.23e-06
8.9,6.89945903685e-17,6.8863606719e-17,3.628649963e-33,0.0,1.69624362009e-21,3.49392022568e-27,3.25055252986e-20,9.67818770907e-20,5.97901453623e-10,0.999999884605,10.0,5.979e-10,6.23e-06
9.0,4.39035637991e-17,4.38048489602e-17,2.25091277424e-33,0.0,1.35746701062e-21,3.51930485852e-27,2.05071519481e-20,7.68502164958e-20,5.97901504551e-10,0.99999992657,10.0,5.979e-10,6.23e-06
9.1,2.79690485279e-17,2.78941494882e-17,1.39147913092e-33,0.0,1.08735663317e-21,3.54799913101e-27,1.29119459423e-20,6.08997336028e-20,5.97901551454e-10,0.999999953221,10.0,5.979e-10,6.23e-06
9.2,1.7842996394e-17,1.77858625082e-17,8.56637458075e-34,0.0,8.72000402513e-22,3.58087443986e-27,8.11172201546e-21,4.81501597862e-20,5.97901599383e-10,0.999999970157,10.0,5.979e-10,6.23e-06
9.3,1.14028078319e-17,1.13590535877e-17,5.24843085295e-34,0.0,7.00301277533e-22,3.61901965495e-27,5.08313272221e-21,3.79708066137e-20,5.97901652457e-10,0.999999980929,10.0,5.979e-10,6.23e-06
9.4,7.30260290791e-18,7.26901002669e-18,3.19827369984e-34,0.0,5.63408869366e-22,3.6637979331e-27,3.1759604507e-21,2.98535082324e-20,5.97901714493e-10,0.999999987786,10.0,5.979e-10,6.23e-06
9.5,4.68881075757e-18,4.66298904892e-18,1.93755935743e-34,0.0,4.54265132134e-22,3.71691545203e-27,1.97761230055e-21,2.33898274969e-20,5.97901789509e-10,0.999999992158,10.0,5.979e-10,6.23e-06
9.6,3.01992416649e-18,3.00007824956e-18,1.16663271819e-34,0.0,3.67241579285e-22,3.78050459707e-27,1.22659611722e-21,1.82520754565e-20,5.97901881887e-10,0.999999994949,10.0,5.979e-10,6.23e-06
9.7,1.95227320432e-18,1.93704033291e-18,6.98159309854e-35,0.0,2.97849905018e-22,3.85722615701e-27,7.57379101817e-22,1.41776385498e-20,5.9790199691e-10,0.999999996735,10.0,5.979e-10,6.23e-06
